French,English
partie,part
aide,help
car,because
aucun,no
laisse,leash
ville,city
chaque,each
arrivé,come
longtemps,long time
heures,hours
vont,will
pendant,while
voici,here is
donner,give
donné,given
yeux,eyes
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
tiens,here
tellement,so much
venu,came
pardon,sorry
devant,in front of
minutes,minutes
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
attendez,Wait
parti,left
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
aura,will have
bureau,office
